year,total
1803,526
1804,619
1805,430
1806,367
1807,134
1808,155
1809,237
1810,274
1811,228
1812,215
1813,234
1814,201
1815,226
1816,644
1817,1068
1818,1249
1819,1152
1820,1275
1821,1007
1822,1033
1823,1161
1824,1648
1825,3368
1826,5201
1827,6162
1828,5601
1829,8041
1830,7301
1831,8523
1832,10841
1833,11765
1834,15649
1835,17244
1836,17499
1837,18384
1838,20059
1839,22779
1840,31345
1841,34027
1842,33134
1843,35951
1844,42795
1845,47054
1846,46094
1847,48628
1848,47645
1849,49097
1850,66092
1851,82952
1852,71680
1853,84182
1854,107000
1855,147208
1856,160284
1857,166364
1858,163424
1859,184879
1860,196630
1861,207062
1862,211247
1863,218388
1864,233960
1865,250524
1866,266016
1867,270337
1868,276184
1869,292923
1870,321649
1871,323305
1872,335217
1873,371863
1874,388215
1875,403191
1876,415547
1877,437111
1878,500678
1879,524769
1880,535356
1881,559162
1882,635855
1883,664990
1884,743811
1885,793775
1886,862294
1887,892193
1888,940904
1889,1030772
1890,1105213
1891,1175342
1892,1228829
1893,1250292
1894,1277722
1895,1370712
1896,1460914
1897,1487066
1898,1657287
1899,1821339
1900,2046157
1901,2143662
1902,2157783
1903,2202630
1904,2370664
1905,2471460
1906,2536330
1907,2635282
1908,2691575
1909,2716718
1910,2957196
1911,3105425
1912,3270377
1913,3290575
1914,4125809
1915,4228349
1916,3885155
1917,3677047
1918,3523334
1919,2958777
1920,2713861
1921,2844471
1922,2955004
1923,3067196
1924,3234715
1925,3231540
1926,3171763
1927,3261378
1928,3369341
1929,3575857
1930,3455559
1931,3103399
1932,3051865
1933,3205182
1934,3315982
1935,3349490
1936,3439283
1937,3457210
1938,3438566
1939,3258865
1940,2722305
1941,2413634
1942,1921208
1943,1672892
1944,1723470
1945,1893305
1946,2146406
1947,2205082
1948,1985078
1949,2191701
1950,2205502
1951,2000997
1952,1986426
1953,2043760
1954,2068846
1955,204665
1956,146767
1957,78568
1958,81325
1959,77909
1960,71769
1961,70859
1962,73633
1963,82908
1964,84827
1965,88544
1966,86372
1967,84595
1968,87460
1969,87893
1970,85956
1971,81342
1972,74909
1973,71835
1974,73765
1975,70573
1976,72076
1977,73925
1978,79979
1979,88976
1980,89085
1981,89251
1982,92069
1983,90769
1984,83008
1985,89550
1986,87810
1987,87022
1988,96333
1989,95680
1990,94370
1991,97816
1992,95164
1993,95387
1994,92914
1995,92684
1996,9106
1997,9606
1998,10025
1999,10943
