year,total
1803,526
1804,619
1805,430
1806,367
1807,160
1808,155
1809,237
1810,269
1811,228
1812,208
1813,234
1814,201
1815,226
1816,644
1817,1068
1818,1249
1819,1152
1820,1275
1821,1007
1822,1033
1823,1161
1824,1648
1825,3175
1826,5201
1827,6162
1828,5566
1829,7395
1830,6651
1831,7746
1832,9542
1833,10188
1834,11922
1835,13529
1836,14347
1837,15297
1838,16226
1839,19062
1840,23997
1841,24922
1842,23962
1843,26346
1844,29256
1845,33004
1846,31464
1847,35613
1848,32222
1849,31940
1850,38428
1851,51180
1852,50346
1853,56376
1854,68014
1855,86651
1856,90067
1857,85773
1858,82438
1859,93920
1860,103148
1861,111878
1862,110563
1863,112997
1864,109900
1865,109314
1866,113425
1867,115903
1868,115563
1869,112000
1870,116364
1871,114021
1872,116830
1873,125620
1874,131676
1875,129996
1876,128129
1877,129860
1878,155459
1879,163896
1880,160516
1881,169269
1882,190956
1883,202498
1884,202273
1885,229163
1886,254079
1887,263513
1888,266780
1889,301193
1890,308556
1891,325815
1892,337244
1893,342571
1894,331666
1895,354437
1896,355734
1897,401583
1898,424928
1899,438446
1900,501918
1901,510347
1902,483019
1903,552381
1904,540591
1905,587430
1906,618564
1907,630540
1908,677907
1909,653099
1910,717452
1911,713994
1912,784980
1913,729652
1914,735979
1915,746671
1916,661232
1917,625631
1918,593258
1919,627045
1920,518700
1921,523745
1922,577202
1923,727563
1924,850476
1925,826068
1926,855399
1927,916092
1928,1007417
1929,1041220
1930,960811
1931,872700
1932,872772
1933,893540
1934,990929
1935,973706
1936,951758
1937,1014777
1938,1019574
1939,919081
1940,699847
1941,669937
1942,486675
1943,416819
1944,456142
1945,508031
1946,572718
1947,654681
1948,545258
1949,664742
1950,686944
1951,637851
1952,652022
1953,699821
1954,675151
