state,year,total
Victoria,1803,0
Victoria,1804,0
Victoria,1805,0
Victoria,1806,0
Victoria,1807,26
Victoria,1808,0
Victoria,1809,0
Victoria,1810,0
Victoria,1811,0
Victoria,1812,0
Victoria,1813,0
Victoria,1814,0
Victoria,1815,0
Victoria,1816,0
Victoria,1817,0
Victoria,1818,0
Victoria,1819,0
Victoria,1820,0
Victoria,1821,0
Victoria,1822,0
Victoria,1823,0
Victoria,1824,0
Victoria,1825,0
Victoria,1826,0
Victoria,1827,0
Victoria,1828,0
Victoria,1829,0
Victoria,1830,0
Victoria,1831,0
Victoria,1832,0
Victoria,1833,0
Victoria,1834,0
Victoria,1835,0
Victoria,1836,0
Victoria,1837,0
Victoria,1838,0
Victoria,1839,0
Victoria,1840,0
Victoria,1841,0
Victoria,1842,0
Victoria,1843,0
Victoria,1844,0
Victoria,1845,0
Victoria,1846,1538
Victoria,1847,2200
Victoria,1848,2244
Victoria,1849,4969
Victoria,1850,5205
Victoria,1851,7158
Victoria,1852,6107
Victoria,1853,9037
Victoria,1854,8165
Victoria,1855,11003
Victoria,1856,13881
Victoria,1857,18257
Victoria,1858,18671
Victoria,1859,19444
Victoria,1860,17798
Victoria,1861,21938
Victoria,1862,22428
Victoria,1863,13349
Victoria,1864,21430
Victoria,1865,15309
Victoria,1866,14308
Victoria,1867,17392
Victoria,1868,17439
Victoria,1869,16771
Victoria,1870,16812
Victoria,1871,15748
Victoria,1872,16927
Victoria,1873,19333
Victoria,1874,20062
Victoria,1875,26794
Victoria,1876,22982
Victoria,1877,26486
Victoria,1878,28816
Victoria,1879,29068
Victoria,1880,30532
Victoria,1881,29388
Victoria,1882,52123
Victoria,1883,51278
Victoria,1884,50909
Victoria,1885,46853
Victoria,1886,58964
Victoria,1887,73151
Victoria,1888,71090
Victoria,1889,69104
Victoria,1890,71807
Victoria,1891,87151
Victoria,1892,82118
Victoria,1893,84118
Victoria,1894,75613
Victoria,1895,86432
Victoria,1896,79677
Victoria,1897,81484
Victoria,1898,82781
Victoria,1899,81594
Victoria,1900,79053
Victoria,1901,101092
Victoria,1902,93255
Victoria,1903,99247
Victoria,1904,106899
Victoria,1905,100848
Victoria,1906,109776
Victoria,1907,116546
Victoria,1908,106980
Victoria,1909,115849
Victoria,1910,130264
Victoria,1911,133292
Victoria,1912,119634
Victoria,1913,97401
Victoria,1914,94031
Victoria,1915,119965
Victoria,1916,79727
Victoria,1917,79125
Victoria,1918,72946
Victoria,1919,97307
Victoria,1920,84233
Victoria,1921,78174
Victoria,1922,90743
Victoria,1923,83318
Victoria,1924,106176
Victoria,1925,116657
Victoria,1926,93105
Victoria,1927,93548
Victoria,1928,100416
Victoria,1929,105315
Victoria,1930,103638
Victoria,1931,92531
Victoria,1932,91988
Victoria,1933,113177
Victoria,1934,137409
Victoria,1935,144708
Victoria,1936,143235
Victoria,1937,142165
Victoria,1938,146520
Victoria,1939,144775
Victoria,1940,110404
Victoria,1941,102919
Victoria,1942,80155
Victoria,1943,60179
Victoria,1944,70578
Victoria,1945,75662
Victoria,1946,100948
Victoria,1947,96881
Victoria,1948,76915
Victoria,1949,95801
Victoria,1950,98173
Victoria,1951,91876
Victoria,1952,91781
Victoria,1953,95838
Victoria,1954,97874
Western Australia,1803,0
Western Australia,1804,0
Western Australia,1805,0
Western Australia,1806,0
Western Australia,1807,0
Western Australia,1808,0
Western Australia,1809,0
Western Australia,1810,0
Western Australia,1811,0
Western Australia,1812,0
Western Australia,1813,0
Western Australia,1814,0
Western Australia,1815,0
Western Australia,1816,0
Western Australia,1817,0
Western Australia,1818,0
