year,total
1803,526
1804,619
1805,430
1806,367
1807,160
1808,155
1809,237
1810,269
1811,228
1812,208
1813,234
1814,201
1815,226
1816,644
1817,1068
1818,1249
1819,1152
1820,1275
1821,1007
1822,1033
1823,1161
1824,1648
1825,3175
1826,5201
1827,6162
1828,5566
1829,7395
1830,6651
1831,7746
1832,9542
1833,10188
1834,11922
1835,14364
1836,15330
1837,16180
1838,17523
1839,20494
1840,26034
1841,26858
1842,25862
1843,28274
1844,32584
1845,36534
1846,34740
1847,38453
1848,35197
1849,34539
1850,41735
1851,54563
1852,55252
1853,59860
1854,72006
1855,91496
1856,97820
1857,98898
1858,98984
1859,110218
1860,117819
1861,127508
1862,129127
1863,117395
1864,127542
1865,118285
1866,117676
1867,122293
1868,123700
1869,124626
1870,130864
1871,122575
1872,126947
1873,135108
1874,140872
1875,139913
1876,135551
1877,146886
1878,171601
1879,175407
1880,167336
1881,176370
1882,202877
1883,210689
1884,210948
1885,241176
1886,273248
1887,289342
1888,297280
1889,325438
1890,344468
1891,377044
1892,390996
1893,376565
1894,379206
1895,397776
1896,402241
1897,442504
1898,456464
1899,485092
1900,557054
1901,564499
1902,543833
1903,610340
1904,595725
1905,636016
1906,671074
1907,697881
1908,737199
1909,715844
1910,778263
1911,774710
1912,825135
1913,774267
1914,758266
1915,813900
1916,725110
1917,699793
1918,676913
1919,730785
1920,668088
1921,668093
1922,697936
1923,845843
1924,924606
1925,884023
1926,878152
1927,926649
1928,1022027
1929,1058400
1930,987878
1931,884695
1932,884906
1933,904398
1934,1001973
1935,1001002
1936,1019887
1937,1057924
1938,1039265
1939,968335
1940,762768
1941,693107
1942,525503
1943,438956
1944,478861
1945,541229
1946,626887
1947,707080
1948,595745
1949,715504
1950,742044
1951,692765
1952,713968
1953,740218
1954,715068
