year,total
1803,526
1804,619
1805,430
1806,367
1807,134
1808,155
1809,237
1810,274
1811,228
1812,215
1813,234
1814,239
1815,226
1816,644
1817,1068
1818,1249
1819,1152
1820,1275
1821,1005
1822,1033
1823,1156
1824,1646
1825,3366
1826,5201
1827,6618
1828,7335
1829,8935
1830,8977
1831,10989
1832,14814
1833,15622
1834,18704
1835,20389
1836,20553
1837,21805
1838,25911
1839,32876
1840,42411
1841,46377
1842,47934
1843,49913
1844,54331
1845,63389
1846,62153
1847,62767
1848,63463
1849,62794
1850,81624
1851,96566
1852,79960
1853,96033
1854,118883
1855,159947
1856,168695
1857,175343
1858,178765
1859,202996
1860,214554
1861,237976
1862,244694
1863,251706
1864,264282
1865,283302
1866,289342
1867,297136
1868,304914
1869,327192
1870,373286
1871,359781
1872,383784
1873,420951
1874,436788
1875,466891
1876,477911
1877,499944
1878,569203
1879,607530
1880,624376
1881,667930
1882,745914
1883,778865
1884,858553
1885,911515
1886,994828
1887,1043492
1888,1162025
1889,1252262
1890,1357654
1891,1429274
1892,1486705
1893,1510849
1894,1560809
1895,1678554
1896,1798582
1897,1918088
1898,2141840
1899,2308829
1900,2539736
1901,2618191
1902,2674429
1903,2713889
1904,2878677
1905,3009076
1906,3057500
1907,3205575
1908,3314151
1909,3379982
1910,3613826
1911,3740413
1912,3890753
1913,3957073
1914,4654167
1915,4751447
1916,4346277
1917,4239223
1918,4016436
1919,3486517
1920,3237978
1921,3435873
1922,3562135
1923,3828641
1924,4125328
1925,4086958
1926,4069533
1927,4126770
1928,4234586
1929,4460722
1930,4315190
1931,3941724
1932,3890710
1933,4069854
1934,4183589
1935,4271382
1936,4377987
1937,4371925
1938,4359675
1939,4140014
1940,3497071
1941,3082401
1942,2470102
1943,2191842
1944,2233365
1945,2412554
1946,2748052
1947,2851317
1948,2610229
1949,2867051
1950,2812464
1951,2554766
1952,2608800
1953,2755677
1954,2787339
1955,279909
1956,199416
1957,126201
1958,126115
1959,121259
1960,115050
1961,109239
1962,108575
1963,118702
1964,120392
1965,126432
1966,123452
1967,118503
1968,124919
1969,151689
1970,166785
1971,165077
1972,164687
1973,161814
1974,159025
1975,148204
1976,148816
1977,151194
1978,159199
1979,167101
1980,165664
1981,142781
1982,130222
1983,117491
1984,118615
1985,128586
1986,128312
1987,127591
1988,136944
1989,140206
1990,132596
1991,131729
1992,137422
1993,137978
1994,133420
1995,132425
1996,47101
1997,49822
1998,56947
1999,67005
2000,44770
2001,42081
2002,42631
2003,24075
2004,22072
2005,18071
2006,17708
2007,18719
2008,17059
2009,5762
2010,5794
2011,5386
2012,4832
2013,4904
2014,4718
2015,4819
2016,1422
2017,1094
2018,1100
2019,1153
