year,total
1803,526
1804,619
1805,430
1806,367
1807,134
1808,155
1809,237
1810,274
1811,228
1812,215
1813,234
1814,239
1815,226
1816,644
1817,1068
1818,1249
1819,1152
1820,1275
1821,1005
1822,1033
1823,1156
1824,1646
1825,3366
1826,5201
1827,6537
1828,6726
1829,8320
1830,8369
1831,10311
1832,13732
1833,15438
1834,18704
1835,20389
1836,20553
1837,21697
1838,25191
1839,31159
1840,40450
1841,43293
1842,44264
1843,45968
1844,51377
1845,60228
1846,58778
1847,59204
1848,60241
1849,59385
1850,78015
1851,93356
1852,75952
1853,89138
1854,111784
1855,152598
1856,165249
1857,167975
1858,170579
1859,192157
1860,203675
1861,222964
1862,231360
1863,236366
1864,249404
1865,269477
1866,286540
1867,292713
1868,300541
1869,322013
1870,364795
1871,354225
1872,375635
1873,415010
1874,430575
1875,458785
1876,470985
1877,492647
1878,564391
1879,601734
1880,619450
1881,662427
1882,743475
1883,766463
1884,852369
1885,908467
1886,992953
1887,1041602
1888,1151676
1889,1238254
1890,1344623
1891,1413151
1892,1467230
1893,1489680
1894,1534517
1895,1648138
1896,1748761
1897,1834875
1898,2040551
1899,2252411
1900,2480642
1901,2550120
1902,2595371
1903,2634361
1904,2831096
1905,2955322
1906,2987039
1907,3133992
1908,3235484
1909,3302234
1910,3552766
1911,3697488
1912,3845761
1913,3905197
1914,4623237
1915,4727803
1916,4321149
1917,4216562
1918,3993330
1919,3413326
1920,3164067
1921,3321144
1922,3444333
1923,3710189
1924,3991301
1925,3939766
1926,3907297
1927,3961345
1928,4056411
1929,4284425
1930,4125024
1931,3757666
1932,3746154
1933,3920917
1934,4008550
1935,4073481
1936,4174487
1937,4160800
1938,4161121
1939,3934042
1940,3340188
1941,2946702
1942,2358245
1943,2077003
1944,2086601
1945,2268121
1946,2557541
1947,2664914
1948,2419255
1949,2670720
1950,2699179
1951,2420590
1952,2461597
1953,2585090
1954,2602978
1955,242274
1956,167703
1957,95565
1958,97546
1959,93467
1960,87033
1961,85362
1962,86087
1963,94928
1964,95921
1965,99936
1966,97660
1967,95977
1968,98707
1969,119525
1970,136515
1971,134253
1972,130480
1973,131267
1974,129449
1975,122899
1976,124318
1977,126679
1978,130889
1979,135594
1980,133235
1981,112390
1982,99609
1983,84740
1984,89398
1985,94786
1986,92759
1987,92107
1988,102608
1989,105753
1990,102060
1991,108736
1992,107630
1993,107596
1994,105497
1995,104645
1996,23639
1997,24409
1998,31064
1999,41181
2000,32249
2001,13614
2002,13326
2003,8327
2004,10980
2005,6187
2006,5553
2007,5747
2008,4715
2009,4227
2010,4137
2011,3645
2012,3322
2013,3451
2014,3132
2015,3223
