year,total
1803,526
1804,619
1805,429
1806,367
1807,134
1808,155
1809,237
1810,274
1811,228
1812,215
1813,234
1814,239
1815,226
1816,644
1817,1067
1818,1249
1819,1152
1820,1275
1821,1007
1822,1033
1823,1161
1824,1646
1825,3367
1826,5201
1827,6162
1828,5587
1829,8319
1830,7300
1831,9147
1832,13136
1833,15787
1834,19177
1835,22406
1836,22708
1837,22959
1838,27203
1839,32687
1840,42413
1841,48081
1842,51800
1843,52608
1844,57447
1845,65716
1846,62676
1847,64116
1848,62564
1849,63366
1850,81420
1851,97184
1852,80008
1853,93394
1854,116507
1855,158352
1856,169337
1857,172420
1858,172061
1859,195074
1860,206854
1861,217348
1862,221183
1863,230540
1864,245021
1865,262007
1866,281540
1867,286504
1868,292118
1869,310605
1870,351038
1871,346945
1872,365099
1873,404001
1874,419859
1875,443520
1876,460254
1877,484497
1878,549798
1879,588277
1880,591968
1881,619613
1882,696403
1883,728404
1884,809558
1885,861308
1886,934867
1887,974155
1888,1081919
1889,1163984
1890,1257582
1891,1325958
1892,1384427
1893,1397412
1894,1422781
1895,1529871
1896,1635013
1897,1674146
1898,1864326
1899,2060809
1900,2263539
1901,2356551
1902,2390774
1903,2444160
1904,2623650
1905,2718397
1906,2751991
1907,2891325
1908,3005743
1909,3078297
1910,3296329
1911,3460567
1912,3614960
1913,3658441
1914,4375355
1915,4472277
1916,4135032
1917,3992751
1918,3779419
1919,3202740
1920,2948036
1921,3056794
1922,3177408
1923,3419408
1924,3624481
1925,3550672
1926,3520616
1927,3539685
1928,3659368
1929,3847825
1930,3694984
1931,3340495
1932,3303982
1933,3445948
1934,3567028
1935,3640898
1936,3712536
1937,3714929
1938,3695154
1939,3499090
1940,2940486
1941,2619419
1942,2084161
1943,1815910
1944,1869439
1945,2053768
1946,2324129
1947,2417293
1948,2195200
1949,2417597
1950,2473177
1951,2210494
1952,2235062
1953,2339362
1954,2364905
1955,232896
1956,165358
1957,98629
1958,101837
1959,98578
1960,93653
1961,92124
1962,94174
1963,103446
1964,104761
1965,109172
1966,107433
1967,106203
1968,108322
1969,109471
1970,108232
1971,106422
1972,101953
1973,99704
1974,101186
1975,98402
1976,99374
1977,102017
1978,106281
1979,115459
1980,114005
1981,112748
1982,114485
1983,112934
1984,105101
1985,111370
1986,110362
1987,111266
1988,120202
1989,119761
1990,118462
1991,121697
1992,117197
1993,115400
1994,110685
1995,109165
1996,27545
1997,28144
1998,27245
1999,27334
