year,total
1803,526
1804,619
1805,430
1806,367
1807,134
1808,155
1809,237
1810,274
1811,228
1812,215
1813,234
1814,239
1815,226
1816,644
1817,1068
1818,1249
1819,1152
1820,1275
1821,1005
1822,1033
1823,1156
1824,1646
1825,3366
1826,5201
1827,6537
1828,6726
1829,8320
1830,8369
1831,10311
1832,13732
1833,15438
1834,18704
1835,20389
1836,20553
1837,21697
1838,25191
1839,31159
1840,40450
1841,43583
1842,44264
1843,45968
1844,51377
1845,60228
1846,58794
1847,59503
1848,60302
1849,59698
1850,78726
1851,93422
1852,77328
1853,89716
1854,111809
1855,152862
1856,165260
1857,167962
1858,170506
1859,192157
1860,203666
1861,222964
1862,231360
1863,236359
1864,250078
1865,270535
1866,286531
1867,294045
1868,301851
1869,323274
1870,368748
1871,356420
1872,379281
1873,418488
1874,433570
1875,461964
1876,474589
1877,496062
1878,567221
1879,605369
1880,620926
1881,663699
1882,743779
1883,766454
1884,852461
1885,908355
1886,992953
1887,1041600
1888,1156393
1889,1241746
1890,1348543
1891,1419001
1892,1473222
1893,1493950
1894,1537245
1895,1655640
1896,1759780
1897,1878259
1898,2101016
1899,2270158
1900,2502505
1901,2576632
1902,2635471
1903,2679197
1904,2851878
1905,2981209
1906,3027361
1907,3182813
1908,3283574
1909,3348174
1910,3585173
1911,3713930
1912,3868683
1913,3935079
1914,4631430
1915,4731925
1916,4327007
1917,4219898
1918,3996936
1919,3453197
1920,3202012
1921,3387474
1922,3507102
1923,3777858
1924,4063598
1925,4025384
1926,4007278
1927,4040350
1928,4120958
1929,4346183
1930,4194819
1931,3825141
1932,3804137
1933,3978777
1934,4075716
1935,4157594
1936,4246634
1937,4229023
1938,4225814
1939,3994424
1940,3392990
1941,2987500
1942,2389391
1943,2103261
1944,2152455
1945,2337141
1946,2625887
1947,2716737
1948,2465735
1949,2720488
1950,2740028
1951,2511109
1952,2554216
1953,2691009
1954,2702881
1955,252963
1956,176649
1957,102977
1958,103319
1959,99010
1960,93273
1961,88200
1962,87318
1963,96229
1964,96814
1965,101122
1966,98928
1967,97474
1968,100507
1969,121108
1970,138406
1971,136162
1972,132241
1973,133033
1974,131271
1975,125005
1976,126193
1977,128804
1978,133155
1979,137809
1980,135609
1981,114802
1982,102033
1983,87590
1984,92214
1985,98601
1986,96748
1987,96387
1988,107116
1989,107496
1990,104053
1991,111099
1992,110158
1993,109708
1994,106086
1995,106861
1996,25540
1997,26458
1998,32955
1999,42254
2000,32249
2001,31114
2002,31128
2003,12888
2004,10980
2005,6187
2006,5553
2007,5747
2008,4715
2009,4227
2010,4137
2011,3645
2012,3322
2013,3451
2014,3132
2015,3223
