year,total
1803,526
1804,619
1805,430
1806,367
1807,134
1808,155
1809,237
1810,274
1811,228
1812,215
1813,234
1814,239
1815,226
1816,644
1817,1068
1818,1249
1819,1152
1820,1275
1821,1005
1822,1033
1823,1156
1824,1646
1825,3366
1826,5201
1827,6537
1828,6726
1829,8320
1830,8369
1831,10311
1832,13732
1833,15438
1834,18704
1835,20389
1836,20553
1837,21697
1838,25191
1839,31159
1840,40450
1841,43583
1842,44264
1843,45968
1844,51377
1845,60228
1846,58794
1847,59503
1848,60302
1849,59698
1850,78726
1851,93422
1852,77328
1853,89716
1854,111809
1855,152862
1856,165260
1857,167962
1858,170465
1859,192157
1860,203666
1861,222964
1862,231360
1863,236359
1864,250078
1865,270535
1866,286531
1867,294045
1868,301851
1869,324128
1870,369786
1871,357135
1872,381901
1873,419226
1874,434720
1875,465013
1876,476043
1877,497516
1878,567221
1879,605369
1880,620926
1881,663699
1882,743779
1883,777112
1884,855504
1885,908552
1886,992953
1887,1041609
1888,1160131
1889,1250597
1890,1356077
1891,1427624
1892,1484823
1893,1508559
1894,1552223
1895,1669993
1896,1787172
1897,1905923
1898,2124671
1899,2291285
1900,2526021
1901,2602286
1902,2663426
1903,2702366
1904,2866915
1905,3000008
1906,3053141
1907,3204029
1908,3299942
1909,3365867
1910,3599953
1911,3726874
1912,3877702
1913,3941035
1914,4637240
1915,4734766
1916,4329234
1917,4222288
1918,4000486
1919,3469713
1920,3232280
1921,3424854
1922,3552184
1923,3825199
1924,4114212
1925,4075498
1926,4057541
1927,4094761
1928,4177998
1929,4400731
1930,4253542
1931,3881774
1932,3870855
1933,4052182
1934,4166726
1935,4257870
1936,4366927
1937,4352108
1938,4346573
1939,4115148
1940,3486062
1941,3072953
1942,2463771
1943,2181583
1944,2224588
1945,2402976
1946,2702599
1947,2781436
1948,2547357
1949,2801116
1950,2796460
1951,2554760
1952,2608754
1953,2752367
1954,2776461
1955,279899
1956,196851
1957,123224
1958,122829
1959,117623
1960,111398
1961,106039
1962,105267
1963,115187
1964,116889
1965,122965
1966,120050
1967,115512
1968,121820
1969,147908
1970,163211
1971,161232
1972,160887
1973,159593
1974,158949
1975,148081
1976,148816
1977,151194
1978,156115
1979,163573
1980,162249
1981,139953
1982,127408
1983,114763
1984,118605
1985,128562
1986,128312
1987,127581
1988,136944
1989,140197
1990,132568
1991,131719
1992,137408
1993,137916
1994,133386
1995,132401
1996,47101
1997,49822
1998,56947
1999,67005
2000,44770
2001,42081
2002,42631
2003,24075
2004,22072
2005,18071
2006,17708
2007,18719
2008,17059
2009,5762
2010,5794
2011,5386
2012,4832
2013,4904
2014,4718
2015,4819
2016,1422
2017,1094
2018,1100
2019,1153
